team,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_xAG,Progression_PrgC,Progression_PrgP
Arsenal,84,64,148,51,0,71.6,53.5,824,2049
Aston Villa,49,35,84,80,1,50.3,38.8,637,1242
Bournemouth,37,24,61,68,0,38.5,28.4,504,1006
Brentford,56,36,92,57,1,56.3,38.4,392,1131
Brighton,68,46,114,58,0,73.3,52.2,809,1849
Chelsea,37,27,64,81,3,49.5,38.6,829,1737
Crystal Palace,38,29,67,82,3,39.3,29.0,556,1243
Everton,32,24,56,81,2,45.2,32.4,500,1052
Fulham,52,33,85,80,1,46.2,28.5,663,1326
Leeds United,45,31,76,89,3,47.3,31.8,555,1429
Leicester City,49,36,85,63,2,50.5,38.4,580,1304
Liverpool,71,58,129,57,1,71.5,55.6,719,1992
Manchester City,92,69,161,44,1,78.6,57.5,988,2073
Manchester Utd,56,42,98,78,2,67.7,52.2,711,1595
Newcastle Utd,64,42,106,61,1,71.9,51.8,695,1618
Nott'ham Forest,36,22,58,84,0,39.3,26.3,436,859
Southampton,36,25,61,73,0,37.8,28.1,588,1125
Tottenham,68,46,114,77,3,57.0,43.0,692,1449
West Ham,41,25,66,44,0,49.2,32.7,615,1274
Wolves,28,12,40,85,6,36.8,25.4,610,1343
